                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2134,                 3.3038,                 1.4479,                0.65496,                  0.617,                0.66481,                 0.4716,                 1.0189,                 1.4978,                 1.2551,              0.0033149,              0.0033149,              0.0033149
                      2,                  1.111,                 1.6458,                 1.2999,                 0.7084,                0.70785,                0.78082,                0.52648,                 1.1662,                 1.2576,                 1.3316,              0.0066263,              0.0066263,              0.0066263
                      3,                 1.1853,                 1.5045,                 1.3491,                0.59439,                0.64097,                0.67294,                 0.4545,                 1.1624,                 1.5354,                 1.3417,              0.0099157,              0.0099157,              0.0099157
                      4,                 1.2863,                 1.6012,                 1.4342,                0.66764,                0.66838,                0.70048,                0.44921,                 1.3034,                 1.5304,                 1.5051,               0.009901,               0.009901,               0.009901
                      5,                 1.2946,                 1.5069,                 1.4383,                0.65368,                0.70315,                0.71531,                0.47754,                 1.2104,                 1.3494,                 1.4312,               0.009868,               0.009868,               0.009868
                      6,                 1.2614,                  1.377,                 1.4222,                0.70176,                0.69449,                0.74242,                 0.5022,                 1.2199,                 1.2495,                 1.4226,               0.009835,               0.009835,               0.009835
                      7,                 1.2335,                 1.2969,                 1.4076,                0.70879,                0.66354,                 0.7383,                0.51083,                 1.2004,                 1.3424,                 1.4285,               0.009802,               0.009802,               0.009802
                      8,                  1.224,                 1.2529,                 1.3971,                0.82803,                0.72403,                0.78965,                0.54199,                 1.1941,                 1.0713,                 1.3861,               0.009769,               0.009769,               0.009769
                      9,                 1.1747,                 1.1745,                 1.3655,                 0.7699,                0.76378,                0.81987,                0.55865,                 1.1746,                 1.0174,                 1.4022,               0.009736,               0.009736,               0.009736
                     10,                 1.1487,                 1.1132,                 1.3343,                0.77637,                0.74978,                0.79939,                0.55051,                 1.1662,                   1.08,                 1.3961,               0.009703,               0.009703,               0.009703
                     11,                 1.1427,                  1.103,                 1.3447,                0.74073,                0.73658,                0.78713,                 0.5458,                 1.1305,                 1.0287,                 1.3345,                0.00967,                0.00967,                0.00967
                     12,                 1.1037,                 1.0139,                 1.3112,                0.78899,                0.74667,                0.81396,                0.58484,                 1.0734,                0.97752,                 1.3171,               0.009637,               0.009637,               0.009637
                     13,                 1.1001,                 1.0177,                 1.3073,                0.76318,                0.81725,                0.83262,                 0.5888,                 1.0826,                0.91691,                  1.318,               0.009604,               0.009604,               0.009604
                     14,                 1.0656,                 0.9671,                 1.2974,                0.81702,                0.77302,                0.83101,                0.59265,                 1.0731,                0.86421,                 1.3033,               0.009571,               0.009571,               0.009571
                     15,                 1.0759,                0.94824,                 1.2926,                0.80927,                0.75275,                0.80735,                0.56974,                 1.1338,                0.95013,                 1.3272,               0.009538,               0.009538,               0.009538
                     16,                 1.0718,                 0.9425,                 1.3013,                0.83429,                0.81821,                0.84765,                0.58883,                 1.1151,                0.84555,                 1.3401,               0.009505,               0.009505,               0.009505
                     17,                  1.033,                0.89421,                  1.261,                0.80781,                0.80319,                0.82042,                0.58495,                 1.0752,                0.88827,                  1.298,               0.009472,               0.009472,               0.009472
                     18,                 1.0449,                0.88384,                 1.2734,                0.80725,                0.81473,                0.86234,                0.61125,                  1.065,                0.81961,                 1.3001,               0.009439,               0.009439,               0.009439
                     19,                 1.0226,                0.85477,                 1.2523,                0.85683,                0.78745,                0.84072,                0.59522,                 1.0733,                0.83541,                 1.2847,               0.009406,               0.009406,               0.009406
                     20,                 1.0001,                0.80589,                 1.2414,                0.80516,                0.83184,                0.85431,                0.60703,                 1.0935,                0.79291,                  1.298,               0.009373,               0.009373,               0.009373
                     21,                0.98506,                 0.7917,                 1.2265,                0.80022,                0.79967,                 0.8443,                0.61235,                 1.0226,                0.83873,                 1.2824,                0.00934,                0.00934,                0.00934
                     22,                0.97988,                0.80544,                 1.2224,                0.81442,                0.82841,                0.85446,                0.62379,                 1.0163,                0.82238,                 1.2555,               0.009307,               0.009307,               0.009307
                     23,                0.98103,                0.78852,                 1.2291,                0.83825,                0.82721,                0.86392,                0.63093,                 1.0214,                0.78239,                 1.2584,               0.009274,               0.009274,               0.009274
                     24,                0.95245,                0.76851,                 1.2122,                0.84087,                0.81773,                0.86773,                0.63285,                 1.0119,                0.77845,                 1.2644,               0.009241,               0.009241,               0.009241
                     25,                 0.9516,                0.74466,                 1.2141,                0.82501,                 0.8057,                0.85785,                0.62565,                 1.0145,                0.80128,                 1.2459,               0.009208,               0.009208,               0.009208
                     26,                0.94098,                0.74267,                 1.2035,                0.88254,                0.75652,                0.84419,                0.61242,                0.99107,                  0.813,                 1.2585,               0.009175,               0.009175,               0.009175
                     27,                0.94059,                0.73669,                  1.196,                0.79971,                0.85526,                0.87754,                0.63499,                 1.0087,                0.76364,                 1.2646,               0.009142,               0.009142,               0.009142
                     28,                 0.9252,                0.73212,                 1.1947,                0.84275,                0.84148,                0.87495,                0.62916,                 1.0118,                0.74968,                 1.2722,               0.009109,               0.009109,               0.009109
                     29,                 0.9174,                0.70477,                  1.188,                0.81678,                0.81041,                0.86947,                0.64069,                0.99415,                0.81121,                 1.2255,               0.009076,               0.009076,               0.009076
                     30,                0.90727,                0.70548,                 1.1824,                0.83488,                0.83706,                0.87421,                0.63987,                 1.0141,                0.77526,                 1.2605,               0.009043,               0.009043,               0.009043
                     31,                0.89802,                0.67963,                 1.1699,                0.82996,                0.83341,                0.84889,                0.62455,                0.98667,                0.80876,                 1.2357,                0.00901,                0.00901,                0.00901
                     32,                0.90657,                0.68179,                 1.1852,                0.85472,                 0.8141,                0.87774,                0.64843,                0.98516,                0.76083,                 1.2487,               0.008977,               0.008977,               0.008977
                     33,                0.87717,                0.65032,                 1.1709,                0.86889,                0.81064,                0.85942,                0.62845,                   1.01,                0.75748,                  1.269,               0.008944,               0.008944,               0.008944
                     34,                0.86564,                0.64249,                 1.1588,                0.86411,                0.82501,                 0.8688,                0.63694,                 1.0051,                0.76999,                 1.2507,               0.008911,               0.008911,               0.008911
                     35,                0.86528,                0.63825,                 1.1684,                0.86037,                0.82686,                0.86745,                0.64185,                0.99218,                0.74942,                 1.2747,               0.008878,               0.008878,               0.008878
                     36,                0.84415,                0.62283,                 1.1466,                0.84021,                0.83175,                0.86192,                0.64386,                 0.9973,                0.76551,                 1.2653,               0.008845,               0.008845,               0.008845
                     37,                0.85899,                0.62559,                 1.1575,                0.82886,                0.84709,                0.87034,                0.65412,                0.96199,                0.73088,                 1.2346,               0.008812,               0.008812,               0.008812
                     38,                0.83215,                0.60883,                 1.1409,                0.87232,                0.83907,                0.89291,                0.65789,                0.96798,                0.68295,                 1.2373,               0.008779,               0.008779,               0.008779
                     39,                0.84327,                0.61919,                  1.145,                0.88801,                0.78618,                0.87517,                0.64526,                 1.0023,                0.73586,                 1.2764,               0.008746,               0.008746,               0.008746
                     40,                0.82054,                0.59274,                 1.1369,                 0.8631,                 0.8352,                0.87891,                0.65893,                0.97026,                0.70574,                 1.2266,               0.008713,               0.008713,               0.008713
                     41,                0.83449,                0.60918,                 1.1432,                0.83381,                 0.8355,                0.85305,                0.63759,                 0.9646,                0.75987,                 1.2416,                0.00868,                0.00868,                0.00868
                     42,                0.82877,                  0.608,                  1.137,                0.87199,                0.78679,                0.86833,                0.65353,                0.96338,                0.71927,                 1.2412,               0.008647,               0.008647,               0.008647
                     43,                0.81823,                0.60294,                 1.1238,                0.88998,                0.85809,                0.89652,                0.65351,                 1.0123,                0.67415,                 1.2781,               0.008614,               0.008614,               0.008614
                     44,                0.80838,                0.58943,                 1.1222,                  0.861,                0.83738,                0.87867,                0.64463,                0.99432,                0.69778,                 1.2591,               0.008581,               0.008581,               0.008581
                     45,                0.80705,                0.58846,                 1.1278,                0.86535,                0.84781,                0.86993,                0.64826,                0.97724,                0.69889,                 1.2746,               0.008548,               0.008548,               0.008548
                     46,                0.79066,                0.57084,                 1.1192,                0.87482,                0.81034,                0.87564,                0.63983,                 1.0037,                0.72532,                 1.3048,               0.008515,               0.008515,               0.008515
                     47,                0.79101,                0.55826,                 1.1136,                 0.8537,                0.83719,                0.87699,                0.66425,                0.93909,                0.73242,                 1.2382,               0.008482,               0.008482,               0.008482
                     48,                0.79262,                0.55499,                 1.1066,                0.87984,                0.81244,                0.87558,                0.65289,                0.96363,                0.70983,                 1.2578,               0.008449,               0.008449,               0.008449
                     49,                0.78208,                0.54333,                 1.1071,                0.85258,                0.85071,                0.86213,                0.63198,                0.99365,                0.73533,                 1.2663,               0.008416,               0.008416,               0.008416
                     50,                0.77523,                0.54999,                 1.1039,                0.85868,                 0.8426,                 0.8686,                0.65013,                0.98903,                0.73996,                 1.2559,               0.008383,               0.008383,               0.008383
                     51,                0.76444,                0.53525,                 1.1089,                0.85142,                0.84506,                0.87287,                0.66336,                0.95839,                0.71554,                 1.2491,                0.00835,                0.00835,                0.00835
                     52,                0.75945,                0.54169,                 1.0995,                0.88909,                0.83927,                0.88716,                0.66206,                0.97429,                0.64856,                 1.2568,               0.008317,               0.008317,               0.008317
                     53,                0.75465,                0.52131,                 1.0911,                0.84791,                0.84903,                0.86835,                0.64143,                0.99517,                0.72374,                 1.2944,               0.008284,               0.008284,               0.008284
                     54,                0.74886,                0.52692,                 1.0857,                0.88591,                0.84458,                 0.8767,                0.65464,                0.96535,                0.68616,                 1.2567,               0.008251,               0.008251,               0.008251
                     55,                0.74318,                0.51726,                 1.0948,                0.90239,                 0.8365,                0.88361,                0.66688,                0.94263,                0.66817,                 1.2454,               0.008218,               0.008218,               0.008218
                     56,                0.73995,                0.51561,                 1.0873,                0.88328,                0.79067,                0.86623,                0.65334,                0.95485,                0.71123,                 1.2468,               0.008185,               0.008185,               0.008185
                     57,                0.73161,                0.50736,                 1.0772,                0.84646,                0.84242,                0.86739,                0.65177,                0.98357,                0.69395,                 1.2899,               0.008152,               0.008152,               0.008152
                     58,                0.72708,                0.51309,                 1.0769,                0.88131,                0.81932,                0.86672,                0.66063,                0.94297,                0.69322,                  1.248,               0.008119,               0.008119,               0.008119
                     59,                0.73189,                0.50645,                 1.0861,                0.86893,                0.86488,                0.88629,                0.66058,                0.97216,                0.67538,                 1.2672,               0.008086,               0.008086,               0.008086
                     60,                0.72211,                0.49673,                 1.0724,                0.88714,                0.83067,                0.88597,                0.65839,                0.99454,                0.68186,                 1.2647,               0.008053,               0.008053,               0.008053
                     61,                0.72401,                0.49537,                 1.0662,                0.85386,                0.85194,                0.87945,                0.66483,                0.93709,                0.70813,                 1.2271,                0.00802,                0.00802,                0.00802
                     62,                0.71391,                0.48976,                  1.062,                0.86417,                0.84433,                0.88538,                0.66475,                0.97569,                0.67592,                 1.2556,               0.007987,               0.007987,               0.007987
                     63,                0.69702,                0.47671,                  1.055,                0.86874,                0.85543,                 0.8836,                0.66444,                0.96313,                0.66326,                 1.2776,               0.007954,               0.007954,               0.007954
                     64,                  0.706,                0.49108,                 1.0664,                 0.8461,                0.85319,                0.86121,                0.64726,                0.97833,                0.71516,                 1.2622,               0.007921,               0.007921,               0.007921
                     65,                0.69323,                   0.48,                 1.0501,                0.84517,                0.84341,                0.87484,                0.65946,                0.95003,                0.71773,                 1.2216,               0.007888,               0.007888,               0.007888
                     66,                0.68996,                 0.4754,                 1.0483,                0.85061,                0.85602,                0.88132,                0.65742,                  0.969,                  0.659,                 1.2456,               0.007855,               0.007855,               0.007855
                     67,                0.68873,                0.47001,                  1.052,                0.88647,                0.84985,                0.87612,                0.65772,                0.96601,                0.68267,                 1.2803,               0.007822,               0.007822,               0.007822
                     68,                0.70536,                0.48246,                 1.0646,                0.88602,                0.84873,                 0.8944,                0.67312,                0.95862,                0.63815,                 1.2473,               0.007789,               0.007789,               0.007789
                     69,                0.68372,                0.47645,                 1.0471,                0.86578,                0.85111,                0.87972,                0.65801,                0.96149,                0.65076,                 1.2459,               0.007756,               0.007756,               0.007756
                     70,                0.67742,                0.45949,                 1.0468,                0.85229,                0.83286,                0.87891,                0.66213,                0.94292,                  0.662,                 1.2315,               0.007723,               0.007723,               0.007723
                     71,                0.67657,                0.46312,                 1.0448,                0.87788,                0.82037,                0.87848,                0.66993,                0.93565,                0.65193,                 1.2428,                0.00769,                0.00769,                0.00769
                     72,                0.67518,                0.46253,                 1.0464,                0.87205,                0.86934,                0.88202,                0.66552,                0.94723,                0.67277,                 1.2404,               0.007657,               0.007657,               0.007657
                     73,                0.66141,                0.45032,                 1.0353,                0.85626,                0.85374,                0.88076,                0.66538,                0.94632,                  0.697,                 1.2444,               0.007624,               0.007624,               0.007624
                     74,                0.65903,                0.45405,                 1.0366,                0.88837,                0.81491,                0.88714,                 0.6709,                0.94585,                0.66266,                 1.2479,               0.007591,               0.007591,               0.007591
                     75,                0.64723,                0.44957,                 1.0336,                0.88509,                0.85129,                0.88749,                0.67155,                0.95549,                0.65612,                 1.2669,               0.007558,               0.007558,               0.007558
                     76,                0.66021,                0.45402,                 1.0446,                0.87412,                0.85572,                0.88307,                0.66924,                0.95322,                 0.6911,                 1.2262,               0.007525,               0.007525,               0.007525
                     77,                0.65544,                0.44801,                 1.0363,                0.87575,                0.84576,                0.88733,                0.66262,                0.97295,                0.65242,                 1.2747,               0.007492,               0.007492,               0.007492
                     78,                0.64887,                0.44554,                 1.0277,                0.86459,                0.84285,                0.89775,                0.67193,                0.95608,                0.66801,                 1.2411,               0.007459,               0.007459,               0.007459
                     79,                0.63529,                0.43179,                  1.024,                0.88483,                0.81837,                0.87586,                  0.657,                0.97666,                0.70439,                 1.2772,               0.007426,               0.007426,               0.007426
                     80,                0.64623,                0.44058,                 1.0262,                0.85907,                0.85198,                0.88468,                0.66205,                 0.9565,                 0.6579,                 1.2638,               0.007393,               0.007393,               0.007393
                     81,                0.63115,                0.42615,                 1.0207,                0.89636,                0.84588,                0.87973,                0.65915,                0.96276,                0.66435,                 1.2729,                0.00736,                0.00736,                0.00736
                     82,                0.63347,                0.42931,                 1.0233,                0.85443,                0.85384,                0.88497,                0.66674,                0.96716,                0.67611,                 1.2648,               0.007327,               0.007327,               0.007327
                     83,                 0.6367,                0.44225,                  1.025,                 0.8683,                0.85793,                0.88254,                0.66494,                0.96334,                0.66274,                  1.258,               0.007294,               0.007294,               0.007294
                     84,                0.62918,                0.42715,                 1.0104,                  0.896,                0.84922,                0.89033,                 0.6638,                0.96346,                0.66226,                 1.2484,               0.007261,               0.007261,               0.007261
                     85,                0.62121,                  0.422,                 1.0188,                0.88065,                0.82994,                0.87868,                0.66135,                0.95579,                0.66485,                 1.2479,               0.007228,               0.007228,               0.007228
                     86,                0.61741,                0.41656,                 1.0156,                0.84802,                0.86565,                0.87796,                0.66262,                0.97815,                0.62382,                 1.2776,               0.007195,               0.007195,               0.007195
                     87,                0.61632,                 0.4094,                 1.0118,                0.86036,                 0.8731,                0.89358,                0.67059,                0.95538,                0.62963,                 1.2606,               0.007162,               0.007162,               0.007162
                     88,                0.62348,                0.42219,                 1.0193,                0.86614,                0.83294,                0.87965,                0.66071,                 0.9793,                0.68048,                 1.2924,               0.007129,               0.007129,               0.007129
                     89,                0.61514,                0.41286,                 1.0218,                0.88103,                0.83338,                0.87793,                0.66135,                0.96963,                0.69518,                 1.2856,               0.007096,               0.007096,               0.007096
                     90,                   0.61,                0.41403,                 1.0205,                0.84468,                0.87094,                0.88445,                  0.675,                0.94121,                0.64971,                 1.2732,               0.007063,               0.007063,               0.007063
                     91,                0.60959,                0.40852,                 1.0032,                 0.8851,                 0.8409,                0.89229,                0.67528,                0.94782,                0.64422,                 1.2541,                0.00703,                0.00703,                0.00703
                     92,                0.60756,                0.40787,                 1.0078,                0.84035,                 0.8584,                 0.8793,                0.66603,                0.93827,                 0.6537,                 1.2268,               0.006997,               0.006997,               0.006997
                     93,                0.60504,                0.41607,                 1.0134,                0.86663,                0.82666,                0.87973,                0.67258,                0.94918,                0.66896,                 1.2684,               0.006964,               0.006964,               0.006964
                     94,                0.59596,                0.40046,                 1.0125,                0.83306,                0.84726,                0.87103,                0.67433,                0.92584,                0.71235,                 1.2479,               0.006931,               0.006931,               0.006931
                     95,                0.60194,                 0.4124,                 1.0114,                0.85128,                 0.8584,                0.86827,                0.65808,                0.96107,                0.67085,                 1.2712,               0.006898,               0.006898,               0.006898
                     96,                 0.5972,                0.39438,                 1.0062,                0.87286,                0.83962,                0.88386,                0.66531,                0.97128,                0.67879,                 1.2718,               0.006865,               0.006865,               0.006865
                     97,                0.58139,                0.39261,                0.99215,                0.87949,                0.83184,                0.87028,                 0.6561,                0.95922,                0.68803,                 1.2523,               0.006832,               0.006832,               0.006832
                     98,                0.60036,                0.40374,                0.99757,                0.87293,                0.85159,                0.87873,                0.66835,                0.94989,                0.67169,                 1.2373,               0.006799,               0.006799,               0.006799
                     99,                0.58308,                0.39563,                0.99288,                0.84685,                0.85395,                0.87572,                0.66034,                0.96987,                0.68815,                 1.2755,               0.006766,               0.006766,               0.006766
                    100,                0.58314,                0.40167,                0.99528,                0.84485,                 0.8419,                0.87326,                0.66309,                0.95176,                0.65482,                 1.2723,               0.006733,               0.006733,               0.006733
                    101,                0.58589,                0.39536,                0.99463,                0.86609,                0.85625,                0.88929,                0.68022,                 0.9426,                0.67561,                 1.2512,                 0.0067,                 0.0067,                 0.0067
                    102,                0.56869,                 0.3806,                0.98965,                0.86891,                0.83538,                0.87377,                 0.6703,                 0.9309,                0.70768,                 1.2334,               0.006667,               0.006667,               0.006667
                    103,                0.57105,                0.38331,                0.98972,                0.89506,                0.84621,                0.88658,                0.67956,                0.93974,                0.64193,                 1.2387,               0.006634,               0.006634,               0.006634
                    104,                0.57367,                0.38398,                0.98956,                0.86294,                0.85136,                 0.8776,                0.67216,                 0.9541,                0.68206,                 1.2461,               0.006601,               0.006601,               0.006601
                    105,                0.57608,                0.38672,                0.99333,                0.88136,                0.83922,                 0.8698,                0.66193,                0.94733,                0.69504,                 1.2569,               0.006568,               0.006568,               0.006568
                    106,                0.56508,                0.37922,                0.98493,                0.89067,                0.82242,                0.86694,                0.66089,                0.95446,                 0.7063,                 1.2633,               0.006535,               0.006535,               0.006535
                    107,                0.56618,                0.37539,                0.98754,                0.90014,                0.84735,                 0.8816,                0.66778,                0.96141,                0.68028,                 1.2757,               0.006502,               0.006502,               0.006502
                    108,                0.56473,                0.37954,                0.99232,                0.87842,                0.84635,                0.88126,                0.66413,                0.94794,                0.65901,                 1.2705,               0.006469,               0.006469,               0.006469
                    109,                0.56903,                0.37436,                0.98819,                0.86336,                0.86244,                0.88308,                0.66875,                 0.9399,                0.65148,                 1.2476,               0.006436,               0.006436,               0.006436
                    110,                0.54778,                0.37433,                0.97776,                 0.8675,                0.86055,                0.88045,                0.66705,                0.93595,                0.65194,                   1.24,               0.006403,               0.006403,               0.006403
                    111,                0.55554,                0.36703,                0.97497,                0.86616,                0.84364,                0.88051,                0.67064,                0.96192,                0.65357,                 1.2516,                0.00637,                0.00637,                0.00637
                    112,                0.56111,                0.37384,                0.98342,                0.85688,                0.84874,                0.88983,                 0.6661,                0.96318,                0.68203,                 1.2638,               0.006337,               0.006337,               0.006337
                    113,                0.55313,                0.36697,                0.97855,                0.88015,                0.83247,                0.87677,                0.66342,                0.94976,                 0.6718,                 1.2604,               0.006304,               0.006304,               0.006304
                    114,                 0.5388,                0.36154,                0.96959,                0.85184,                0.85132,                0.88107,                 0.6701,                0.95018,                0.64684,                 1.2363,               0.006271,               0.006271,               0.006271
                    115,                0.54584,                0.36771,                0.97437,                0.88749,                0.82337,                0.88092,                0.66904,                0.96075,                0.66923,                 1.2632,               0.006238,               0.006238,               0.006238
                    116,                0.54446,                0.36864,                0.97611,                0.90735,                0.82776,                0.88539,                0.68247,                0.93636,                 0.6502,                 1.2385,               0.006205,               0.006205,               0.006205
                    117,                0.54715,                0.36568,                0.97877,                0.88346,                0.85296,                0.89152,                0.67831,                0.94296,                0.60568,                 1.2438,               0.006172,               0.006172,               0.006172
                    118,                0.53921,                0.36302,                0.97251,                 0.8919,                0.85558,                0.88933,                0.66855,                0.95343,                 0.6302,                 1.2553,               0.006139,               0.006139,               0.006139
                    119,                 0.5393,                0.36954,                0.97579,                0.89381,                0.83492,                0.87726,                0.67212,                0.95587,                0.63132,                 1.2638,               0.006106,               0.006106,               0.006106
                    120,                0.53484,                0.36048,                 0.9715,                0.89403,                0.83672,                0.88629,                0.67454,                0.95595,                0.64421,                 1.2702,               0.006073,               0.006073,               0.006073
                    121,                0.53373,                0.35254,                 0.9733,                0.88822,                0.83516,                0.87978,                0.67479,                0.95684,                0.65837,                 1.2752,                0.00604,                0.00604,                0.00604
                    122,                0.52105,                0.34179,                0.96465,                0.89779,                0.81939,                 0.8778,                0.67615,                0.94297,                0.66309,                 1.2673,               0.006007,               0.006007,               0.006007
                    123,                0.52726,                 0.3498,                0.96895,                0.90346,                0.82854,                 0.8783,                0.67098,                0.93747,                0.65831,                 1.2656,               0.005974,               0.005974,               0.005974
                    124,                0.52311,                0.35316,                0.97802,                0.85591,                  0.858,                0.86842,                0.66617,                0.93716,                0.67939,                 1.2813,               0.005941,               0.005941,               0.005941
                    125,                0.51941,                 0.3443,                0.97096,                0.87253,                0.82763,                 0.8691,                0.66087,                0.94275,                0.69175,                 1.2798,               0.005908,               0.005908,               0.005908
                    126,                0.52384,                0.35217,                0.97134,                0.88672,                0.84269,                0.88133,                0.66625,                0.95139,                0.67387,                 1.2835,               0.005875,               0.005875,               0.005875
                    127,                0.51993,                0.34612,                0.97288,                  0.876,                0.84216,                0.88295,                0.67863,                0.93052,                0.65677,                 1.2777,               0.005842,               0.005842,               0.005842
                    128,                0.51958,                0.34939,                0.96345,                0.87269,                0.84028,                0.87362,                0.67453,                0.91416,                0.66135,                 1.2594,               0.005809,               0.005809,               0.005809
                    129,                0.51514,                0.34306,                0.96105,                0.88329,                0.83021,                0.87193,                0.66809,                0.93822,                0.64886,                  1.269,               0.005776,               0.005776,               0.005776
                    130,                0.51157,                0.34632,                0.97063,                0.89752,                0.85356,                0.88167,                0.68156,                0.93498,                0.62328,                 1.2887,               0.005743,               0.005743,               0.005743
                    131,                0.50879,                0.33877,                0.96944,                0.89871,                0.83514,                0.88228,                0.68015,                0.92023,                0.63617,                 1.2486,                0.00571,                0.00571,                0.00571
                    132,                0.51217,                0.33898,                0.96966,                0.87618,                0.84332,                0.88051,                0.67412,                0.94386,                0.67396,                 1.2715,               0.005677,               0.005677,               0.005677
                    133,                0.50521,                0.33916,                0.97418,                0.89383,                0.83782,                0.88839,                0.68545,                0.93256,                0.62764,                 1.2999,               0.005644,               0.005644,               0.005644
                    134,                0.50897,                0.33432,                0.96945,                0.88194,                0.84151,                0.88281,                0.67697,                 0.9399,                0.64709,                 1.2973,               0.005611,               0.005611,               0.005611
                    135,                0.50897,                 0.3412,                0.97219,                0.88296,                0.84144,                0.87053,                0.66807,                0.93994,                0.63228,                 1.2965,               0.005578,               0.005578,               0.005578
                    136,                 0.4976,                 0.3288,                0.96168,                0.88643,                0.83788,                0.87086,                0.67011,                0.93915,                0.67348,                 1.2895,               0.005545,               0.005545,               0.005545
